example_index,question,gold_answer,predicted_answer,method_name,exact_match,token_f1,supporting_title_recall,reader_confidence,question_type,sub_questions,rewritten_sub_questions,retrieved_titles
0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,American,vanilla_rag,0.0,0.0,0.0,0.004848552327871403,comparison,['Were Scott Derrickson and Ed Wood of the same nationality?'],['Were Scott Derrickson and Ed Wood of the same nationality?'],"['Ed Wood (film)', 'Woodson, Arkansas', 'Doctor Strange (2016 film)', 'Sinister (film)']"
1,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Shirley Temple,vanilla_rag,0.0,0.0,0.5,0.009997626766562462,bridge,['What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?'],['What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?'],"['Kiss and Tell (1945 film)', 'A Kiss for Corliss', 'Meet Corliss Archer (TV series)', 'Janet Waldo']"
2,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,vanilla_rag,1.0,1.0,1.0,0.19566359571763314,bridge,"['What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?']","['What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?']","['Animorphs', 'Victoria Hanley', 'The Hork-Bajir Chronicles', 'Starship Troupers']"
3,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,Ortaköy,vanilla_rag,0.0,0.0,1.0,0.06537412153556943,comparison,['Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?'],['Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?'],"['Esma Sultan Mansion', 'Laleli Mosque', 'Sultan Ahmed Mosque', 'Djamaâ el Kebir']"
4,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City",Adriana Trigiani,vanilla_rag,0.0,0.0,0.5,0.10670924835721962,bridge,"['The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?']","['The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?']","['Big Stone Gap (film)', 'Kingston Morning', 'Clinton, Minnesota', 'I Love NY (2015 film)']"
5,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,FNC Entertainment,vanilla_rag,0.0,0.5,0.5,0.06229791417717934,bridge,['2014 S/S is the debut album of a South Korean boy group that was formed by who?'],['2014 S/S is the debut album of a South Korean boy group that was formed by who?'],"['2014 S/S', 'Seventeen discography', 'History (band)', 'SF9 (band)']"
6,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,vanilla_rag,1.0,1.0,1.0,0.0538885175192263,bridge,['Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?'],['Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?'],"['Eenasul Fateh', 'Management consulting', 'ELDee', 'Method Man']"
7,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","1,400",vanilla_rag,0.0,0.0,0.5,0.3004048466682434,bridge,['The arena where the Lewiston Maineiacs played their home games can seat how many people?'],['The arena where the Lewiston Maineiacs played their home games can seat how many people?'],"['Dwyer Arena', 'Lewiston Maineiacs', '2006–07 QMJHL season', 'ArenaBowl XIII']"
8,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Lady Gaga,vanilla_rag,0.0,0.0,0.5,0.012928578187711537,bridge,"['Who is older, Annie Morton or Terry Richardson?']","['Who is older, Annie Morton or Terry Richardson?']","['Annie Morton', 'Kenton Richardson', 'Lady Gaga x Terry Richardson', 'Gumbo (PJ Morton album)']"
9,Are Local H and For Against both from the United States?,yes,the builder of the house has not been determined,vanilla_rag,0.0,0.0,0.5,0.00016988515562843531,comparison,['Are Local H and For Against both from the United States?'],['Are Local H and For Against both from the United States?'],"['Amherst, Massachusetts', 'William H. Cook Water Tank House', 'Local H', 'Mendocino County GMO Ban']"
10,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song (We’re From Kansas,vanilla_rag,0.0,0.5714285714285715,1.0,0.11761308461427689,bridge,"['What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?']","['What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?']","['University of Kansas', 'Kansas Song', 'University of Missouri–Kansas City', 'Downtown Kansas City']"
11,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,David Weissman,vanilla_rag,1.0,1.0,1.0,0.03610728213607217,bridge,"['What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?']","['What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?']","['The Family Man', 'David Weissman', 'Deadfall (1993 film)', 'It Could Happen to You (1994 film)']"
12,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,vanilla_rag,1.0,1.0,1.0,0.11799072776921093,bridge,['What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?'],['What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?'],"[""Guns N' Roses discography"", ""Oh My God (Guns N' Roses song)"", 'Arnold Schwarzenegger filmography', 'End of Days (film)']"
13,Are Random House Tower and 888 7th Avenue both used for real estate?,no,luxury apartment complex,vanilla_rag,0.0,0.0,1.0,0.051474254578351974,comparison,['Are Random House Tower and 888 7th Avenue both used for real estate?'],['Are Random House Tower and 888 7th Avenue both used for real estate?'],"['Random House Tower', 'Pershing Square Capital Management', '888 7th Avenue', 'Real estate technology']"
14,The football manager who recruited David Beckham managed Manchester United during what timeframe?,from 1986 to 2013,1903–1912,vanilla_rag,0.0,0.0,0.5,0.0685819648206234,bridge,['The football manager who recruited David Beckham managed Manchester United during what timeframe?'],['The football manager who recruited David Beckham managed Manchester United during what timeframe?'],"['Ernest Mangnall', 'Joshua Parlby', 'Matt Busby', 'Alex Ferguson']"
15,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984",Kansas,vanilla_rag,0.0,0.0,0.5,0.0005732785517693628,bridge,['Brown State Fishing Lake is in a country that has a population of how many inhabitants ?'],['Brown State Fishing Lake is in a country that has a population of how many inhabitants ?'],"['Brown State Fishing Lake', 'Osage State Fishing Lake', 'Neosho State Fishing Lake', 'Fishing Lake']"
16,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,the North Atlantic Conference,America East Conference,vanilla_rag,0.0,0.3333333333333333,0.5,0.10439102916114962,bridge,"[""The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?""]","[""The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?""]","[""Vermont Catamounts men's soccer"", ""Vermont Catamounts men's basketball"", ""Vermont Catamounts men's ice hockey"", ""2010–11 Vermont Catamounts men's basketball team""]"
17,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,Giuseppe Verdi,vanilla_rag,0.0,0.0,0.5,0.0004447985756996786,comparison,['Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?'],['Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?'],"['Giuseppe Verdi', 'Ferdinando Provesi', 'Verdi, the King of Melody', 'Giuseppe Verdi (film)']"
18,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,Nixon,vanilla_rag,0.0,0.0,0.5,0.469243086874485,bridge,['Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?'],['Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?'],"['Roger O. Egeberg', 'Robert Hormats', 'Steven K. Galson', 'Nelson Rockefeller']"
19,"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers DSC,Robert Caesar Childers,vanilla_rag,0.0,0.5714285714285715,0.5,7.4402046834620705e-06,comparison,"['Which writer was from England, Henry Roth or Robert Erskine Childers?']","['Which writer was from England, Henry Roth or Robert Erskine Childers?']","['Erskine Barton Childers', 'Robert Erskine Childers', 'Robert Caesar Childers', 'Molly Childers']"
20,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,Pedro Rodríguez,Sergio Pérez,vanilla_rag,0.0,0.0,0.5,0.7400060645159101,bridge,['Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?'],['Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?'],"['Formula One drivers from Mexico', 'Eduardo Troconis', '2009 Singapore Grand Prix', 'Michael James Lewis']"
21,This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,Pooh,vanilla_rag,0.0,0.0,0.5,0.0007821299977877061,bridge,['This singer of A Rather Blustery Day also voiced what hedgehog?'],['This singer of A Rather Blustery Day also voiced what hedgehog?'],"['A Rather Blustery Day', 'Kate Higgins', 'Phil Baron', 'Hip Hip Pooh-Ray!']"
22,"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",keyboard function keys,VCR remote,vanilla_rag,0.0,0.0,0.5,0.21583598852157593,bridge,"['Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?']","['Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?']","['Apple Remote', 'Siri Remote', 'Universal remote', 'Apple Remote Desktop']"
23,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,Badly Drawn Boy,vanilla_rag,1.0,1.0,0.0,0.0002927113455371,comparison,"['Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ']","['Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ']","['Under an Hour', 'About a Boy (soundtrack)', 'The Hour of Bewilderbeast', 'Badly Drawn Boy discography']"
24,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,World's Best Goalkeeper,Peter Schmeichel,vanilla_rag,0.0,0.0,1.0,0.11791874468326569,bridge,['What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?'],['What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?'],"['Peter Schmeichel', 'Kasper Schmeichel', 'Kasper Hvidt', ""IFFHS World's Best Club Coach""]"
25,Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,Barton Lee Hazlewood,Lee Hazlewood,vanilla_rag,0.0,0.8,0.5,0.09252577192637546,bridge,"[""Who was the writer of These Boots Are Made for Walkin' and who died in 2007?""]","[""Who was the writer of These Boots Are Made for Walkin' and who died in 2007?""]","['Boots (EP)', 'Boots (album)', ""These Boots Are Made for Walkin'"", 'Nancy Sinatra']"
26,"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",1838,2011–12,vanilla_rag,0.0,0.0,0.5,0.00028408318394212984,bridge,"[""The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?""]","[""The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?""]","[""2011–12 VCU Rams men's basketball team"", ""2015–16 VCU Rams men's basketball team"", ""2009–10 VCU Rams men's basketball team"", ""2013–14 VCU Rams men's basketball team""]"
27,"Are both Dictyosperma, and Huernia described as a genus?",yes,"Stapelia"" and ""Hoodia"".",vanilla_rag,0.0,0.0,1.0,0.02604401297867298,comparison,"['Are both Dictyosperma, and Huernia described as a genus?']","['Are both Dictyosperma, and Huernia described as a genus?']","['Huernia', 'Dictyosperma', 'Fragaria', 'Volvopluteus michiganensis']"
28,Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,Henry J. Kaiser,Henry J. Kaiser,vanilla_rag,1.0,1.0,1.0,0.15770173589407932,bridge,['Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?'],['Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?'],"['Henry J. Kaiser', 'Kaiser Shipyards', 'Kaiser Ventures', 'Edgar Kaiser Sr.']"
29,"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",Arena of Khazan,Arena of Khazan,vanilla_rag,1.0,1.0,1.0,0.17787857353687286,bridge,"['What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?']","['What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?']","['Tunnels &amp; Trolls', 'Ken St. Andre', 'Tunnels &amp; Trolls: Crusaders of Khazan', 'Arena of Khazan']"
30,"When was Poison's album ""Shut Up, Make Love"" released?",2000,2002,vanilla_rag,0.0,0.0,1.0,0.25332483649253845,bridge,"['When was Poison\'s album ""Shut Up, Make Love"" released?']","['When was Poison\'s album ""Shut Up, Make Love"" released?']","['Shut Up, Make Love', 'Be the One (Poison song)', 'Poison (American band)', 'Mind If We Make Love to You']"
31,"Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?","Fujioka, Gunma","Thornhill, Ontario",vanilla_rag,0.0,0.0,1.0,0.31399531004717574,comparison,"['Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?']","['Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?']","['Atsushi Sakurai', 'Hayden (musician)', 'Masami Tsuchiya', 'Buck-Tick']"
32,Which  French ace pilot and adventurer fly L'Oiseau Blanc,Charles Eugène,François Coli,vanilla_rag,0.0,0.0,1.0,0.048734484706074,bridge,"[""Which  French ace pilot and adventurer fly L'Oiseau Blanc""]","[""Which  French ace pilot and adventurer fly L'Oiseau Blanc""]","['François Coli', 'Charles Nungesser', ""L'Oiseau Blanc"", 'Gervais Raoul Lufbery']"
33,Are Freakonomics and In the Realm of the Hackers both American documentaries?,no,Freakonomics: The Movie,vanilla_rag,0.0,0.0,1.0,0.00037488879752345383,comparison,['Are Freakonomics and In the Realm of the Hackers both American documentaries?'],['Are Freakonomics and In the Realm of the Hackers both American documentaries?'],"['In the Realm of the Hackers', 'Freakonomics (film)', 'Hackers (film)', 'Freakonomics Radio']"
34,"Which band, Letters to Cleo or Screaming Trees, had more members?",Letters to Cleo,Soundgarden,vanilla_rag,0.0,0.0,1.0,0.031969498842954636,comparison,"['Which band, Letters to Cleo or Screaming Trees, had more members?']","['Which band, Letters to Cleo or Screaming Trees, had more members?']","['Screaming Trees discography', 'Letters to Cleo', 'Screaming Trees', 'Truly']"
35,Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?,October 1922,persecution,vanilla_rag,0.0,0.0,0.5,0.6813469417393208,bridge,['Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?'],['Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?'],"['Socialist Revolutionary Party', 'Kerensky–Krasnov uprising', 'Lavr Kornilov', 'Alexander Kerensky']"
36,Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?,2000,2000,vanilla_rag,1.0,1.0,1.0,0.9311376214027405,bridge,['Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?'],['Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?'],"['Seven Brief Lessons on Physics', 'Carlo Rovelli', 'Chiara Nappi', 'Guido Caldarelli']"
37,"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,World War I and World War II,vanilla_rag,0.0,0.6,0.5,0.0831134095788002,bridge,"['The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?']","['The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?']","['Livesey Hall War Memorial', 'Rainham War Memorial', 'Freetown Memorial', 'Alamein Memorial']"
38,Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,no,Michigan,vanilla_rag,0.0,0.0,1.0,0.015764299780130386,comparison,['Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?'],['Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?'],"['Gerald R. Ford International Airport', 'Elko Regional Airport', 'Gerald R. Ford Presidential Library', 'Gerald R. Ford Freeway']"
39,Ralph Hefferline was a psychology professor at a university that is located in what city?,New York City,Columbia,vanilla_rag,0.0,0.0,0.5,0.346047580242157,bridge,['Ralph Hefferline was a psychology professor at a university that is located in what city?'],['Ralph Hefferline was a psychology professor at a university that is located in what city?'],"['Ralph Hefferline', 'E. Mavis Hetherington', 'Princeton Neuroscience Institute', 'Kimberly Young']"
40,Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?,Scotch Collie,English Setter,vanilla_rag,0.0,0.0,1.0,0.008682994521223009,comparison,"[""Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?""]","[""Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?""]","['Scotch Collie', 'English Setter', 'Toy Manchester Terrier', 'Manchester Terrier']"
41,Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,Mumbai,Tata Consultancy Services,vanilla_rag,0.0,0.0,0.5,0.773001492023468,bridge,['Where is the company that Sachin Warrier worked for as a software engineer headquartered? '],['Where is the company that Sachin Warrier worked for as a software engineer headquartered? '],"['Sachin Warrier', 'Sachin Bansal', 'William Connolley', 'Keith Bostic']"
42,"A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?",1962,Masakazu Katsura,vanilla_rag,0.0,0.0,0.5,0.08201950788497925,bridge,"['A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?']","['A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?']","['I&quot;s', 'The Kindaichi Case Files', 'Manga Bible (series)', ""Haven't You Heard? I'm Sakamoto""]"
43,The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?,sovereignty,Ethiopian sovereignty,vanilla_rag,0.0,0.6666666666666666,1.0,0.4996853172779083,bridge,['The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?'],['The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?'],"['Battle of Adwa', 'Giuseppe Arimondi', 'Treaty of Addis Ababa', 'First Italo-Ethiopian War']"
44,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,Nelson Rockefeller,Nelson Rockefeller,vanilla_rag,1.0,1.0,0.5,0.10082226246595383,bridge,['Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?'],['Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?'],"['Alfred Balk', 'Cynthia Hogan', 'Executive Order 10925', 'Robert R. Hood']"
45,"A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?",Yellowcraig,Firth of Forth,vanilla_rag,0.0,0.0,0.5,0.45901611144654453,bridge,"['A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?']","['A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?']","['Dirleton Castle', 'Lothian and Borders', 'Scottish Borders', 'Dirleton Kirk']"
46,Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?,Phil Spector,Gerry Goffin and Russ Titelman,vanilla_rag,0.0,0.0,1.0,0.944487452507019,bridge,['Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?'],['Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?'],"['Back to Mono (1958–1969)', 'Mono Masters', 'Yes I Will', 'To Know Him Is to Love Him']"
47,What type of forum did a former Soviet statesman initiate?,Organizations could come together to address global issues,historians,vanilla_rag,0.0,0.0,0.5,0.10682713985443115,bridge,['What type of forum did a former Soviet statesman initiate?'],['What type of forum did a former Soviet statesman initiate?'],"['Mikhail Gorbachev', 'Mikhail Suslov', 'Nikolai Podgorny', 'Sergo Mikoyan']"
48,Are Ferocactus and Silene both types of plant?,yes,Silene antirrhina,vanilla_rag,0.0,0.0,0.0,0.0010248575126752257,comparison,['Are Ferocactus and Silene both types of plant?'],['Are Ferocactus and Silene both types of plant?'],"['Silene menziesii', 'Sex determination in Silene', 'Silene stenophylla', 'Silene antirrhina']"
49,Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?,English Electric Canberra,English Electric Canberra,vanilla_rag,1.0,1.0,0.5,0.5274210497736931,bridge,['Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?'],['Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?'],"['English Electric Canberra', 'Edwin A. Doss', 'South West Pacific theatre of World War II', 'Savoia-Marchetti SM.79']"
50,Which year and which conference was the 14th season for this conference as part of the NCAA Division that the Colorado Buffaloes played in with a record of 2-6 in conference play?,2009 Big 12 Conference,Pac-12,vanilla_rag,0.0,0.0,0.5,0.01220755503163673,bridge,['Which year and which conference was the 14th season for this conference as part of the NCAA Division that the Colorado Buffaloes played in with a record of 2-6 in conference play?'],['Which year and which conference was the 14th season for this conference as part of the NCAA Division that the Colorado Buffaloes played in with a record of 2-6 in conference play?'],"['2011 Colorado Buffaloes football team', '2009 Colorado Buffaloes football team', '2014 Colorado Buffaloes football team', '2012 Colorado Buffaloes football team']"
51,In 1991 Euromarché was bought by a chain that operated how any hypermarkets at the end of 2016?,"1,462",Owen Owen,vanilla_rag,0.0,0.0,0.5,3.856771968457906e-05,bridge,['In 1991 Euromarché was bought by a chain that operated how any hypermarkets at the end of 2016?'],['In 1991 Euromarché was bought by a chain that operated how any hypermarkets at the end of 2016?'],"['Euromarché', 'SavaCentre', 'Tesco Extra', ""Lewis's""]"
52,What race track in the midwest hosts a 500 mile race eavery May?,Indianapolis Motor Speedway,Indianapolis Motor Speedway,vanilla_rag,1.0,1.0,0.0,0.0032261584419757128,bridge,['What race track in the midwest hosts a 500 mile race eavery May?'],['What race track in the midwest hosts a 500 mile race eavery May?'],"['Carolina Dodge Dealers 400', 'Subway 400', 'Subway 400', 'Allison Transmission']"
53,"In what city did the ""Prince of tenors"" star in a film based on an opera by Giacomo Puccini?",Rome,Turin,vanilla_rag,0.0,0.0,0.0,0.010783503343191114,bridge,"['In what city did the ""Prince of tenors"" star in a film based on an opera by Giacomo Puccini?']","['In what city did the ""Prince of tenors"" star in a film based on an opera by Giacomo Puccini?']","['Festival Puccini', 'Gianni Schicchi', 'La Bohème (1988 film)', 'Cesira Ferrani']"
54,"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh",Delirium World Tour,vanilla_rag,0.0,0.0,0.5,0.042740709614008665,bridge,"['Ellie Goulding worked with what other writers on her third studio album, Delirium?']","['Ellie Goulding worked with what other writers on her third studio album, Delirium?']","['Delirium (Ellie Goulding album)', 'Army (Ellie Goulding song)', 'Delirium World Tour', 'Something in the Way You Move']"
55,Which Australian city founded in 1838 contains a boarding school opened by a Prime Minister of Australia and named after a school in London of the same name.,"Marion, South Australia",Concho Indian Boarding School,vanilla_rag,0.0,0.0,0.5,0.00035083514694633777,bridge,['Which Australian city founded in 1838 contains a boarding school opened by a Prime Minister of Australia and named after a school in London of the same name.'],['Which Australian city founded in 1838 contains a boarding school opened by a Prime Minister of Australia and named after a school in London of the same name.'],"['Westminster School, Adelaide', 'Sainik School Balachadi, Jamnagar', 'Grace Church School', 'Concho Indian Boarding School']"
56,D1NZ is a series based on what oversteering technique?,Drifting,AMD Am2900,vanilla_rag,0.0,0.0,0.5,0.00026746509047370637,bridge,['D1NZ is a series based on what oversteering technique?'],['D1NZ is a series based on what oversteering technique?'],"['D1NZ', 'List of The Office (U.S. TV series) characters', 'AMD Am2900', '300 (film)']"
57,who is younger Keith Bostic or Jerry Glanville ?,Keith Bostic,Jerry Glanville,vanilla_rag,0.0,0.0,1.0,0.18800836369337048,bridge,['who is younger Keith Bostic or Jerry Glanville ?'],['who is younger Keith Bostic or Jerry Glanville ?'],"['Keith Bostic (American football)', 'Keith Bostic', 'Portland State Vikings football under Jerry Glanville', 'Jerry Glanville']"
58,"According to the 2001 census, what was the population of the city in which Kirton End is located?","35,124",330,vanilla_rag,0.0,0.0,0.0,0.015028688798111034,bridge,"['According to the 2001 census, what was the population of the city in which Kirton End is located?']","['According to the 2001 census, what was the population of the city in which Kirton End is located?']","['Kirton, Nottinghamshire', 'Kirton, Suffolk', 'Willoughton', 'White House, Tennessee']"
59,Are both Cypress and Ajuga genera?,no,might contain the genera,vanilla_rag,0.0,0.0,0.0,0.036664718005340546,comparison,['Are both Cypress and Ajuga genera?'],['Are both Cypress and Ajuga genera?'],"['Ajugeae', 'Libocedrus', 'Cypress-pine', 'Fokienia']"
