example_index,question,gold_answer,predicted_answer,method_name,exact_match,token_f1,supporting_title_recall,reader_confidence,question_type,sub_questions,rewritten_sub_questions,retrieved_titles
60,What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting?,shortest player ever to play in the National Basketball Association,The shortest player ever to play in the National Basketball Association,vanilla_rag,1.0,1.0,0.5,0.016278160735964775,bridge,['What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting?'],['What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting?'],"['Muggsy Bogues', 'Charlotte Hornets', '2014–15 Charlotte Hornets season', 'Charlotte Hornets draft history']"
61,What is the name of the executive producer of the film that has a score composed by Jerry Goldsmith?,Ronald Shusett,Horner,vanilla_rag,0.0,0.0,0.5,0.02544095571283833,bridge,['What is the name of the executive producer of the film that has a score composed by Jerry Goldsmith?'],['What is the name of the executive producer of the film that has a score composed by Jerry Goldsmith?'],"['Legend (film score)', 'Alien (soundtrack)', 'Aliens (soundtrack)', 'Christus Apollo']"
62,"Who was born earlier, Emma Bull or Virginia Woolf?",Adeline Virginia Woolf,Jane Marcus,vanilla_rag,0.0,0.0,0.5,0.00018301247109775431,comparison,"['Who was born earlier, Emma Bull or Virginia Woolf?']","['Who was born earlier, Emma Bull or Virginia Woolf?']","['Jane de Gay', 'Virginia Woolf', 'Jane Marcus', 'Moments of Being']"
63,What was the Roud Folk Song Index of the nursery rhyme inspiring What Are Little Girls Made Of?,821,12986,vanilla_rag,0.0,0.0,0.5,1.9565825709833007e-05,bridge,['What was the Roud Folk Song Index of the nursery rhyme inspiring What Are Little Girls Made Of?'],['What was the Roud Folk Song Index of the nursery rhyme inspiring What Are Little Girls Made Of?'],"['What Are Little Boys Made Of?', 'Pretty Little Dutch Girl', 'A Wise Old Owl', 'Three Little Kittens']"
64,Scott Parkin has been a vocal critic of Exxonmobil and another corporation that has operations in how many countries ?,more than 70 countries,70,vanilla_rag,0.0,0.4,1.0,0.012741994112730026,bridge,['Scott Parkin has been a vocal critic of Exxonmobil and another corporation that has operations in how many countries ?'],['Scott Parkin has been a vocal critic of Exxonmobil and another corporation that has operations in how many countries ?'],"['Scott Parkin', 'Exxon', 'Mobil Producing Nigeria', 'Halliburton']"
65,What WB supernatrual drama series was Jawbreaker star Rose Mcgowan best known for being in?,Charmed,7th Heaven,vanilla_rag,0.0,0.0,1.0,0.18788284808397293,bridge,['What WB supernatrual drama series was Jawbreaker star Rose Mcgowan best known for being in?'],['What WB supernatrual drama series was Jawbreaker star Rose Mcgowan best known for being in?'],"['Rose McGowan', 'Jawbreaker (film)', 'South Sea Rose', 'Safe Harbor (TV series)']"
66,Vince Phillips held a junior welterweight title by an organization recognized by what larger Hall of Fame?,International Boxing Hall of Fame,Australian National Boxing Hall of Fame,vanilla_rag,0.0,0.7272727272727272,0.5,0.7826757319271564,bridge,['Vince Phillips held a junior welterweight title by an organization recognized by what larger Hall of Fame?'],['Vince Phillips held a junior welterweight title by an organization recognized by what larger Hall of Fame?'],"['Vince Phillips', 'Jeff Malcolm', 'Fatai Onikeke', 'Andrew Murray (Guyanese boxer)']"
67,"What is the name of the singer who's song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?",Usher,Taylor Swift,vanilla_rag,0.0,0.0,0.5,0.1303795427083969,bridge,"['What is the name of the singer who\'s song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?']","['What is the name of the singer who\'s song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?']","['Stay (Sugarland song)', 'No One (Alicia Keys song)', 'Yeah! (Usher song)', ""Can't Touch It""]"
68,who is the younger brother of The episode guest stars of The Hard Easy ,Bill Murray,Kenny,vanilla_rag,0.0,0.0,0.5,0.2663998007774353,bridge,['who is the younger brother of The episode guest stars of The Hard Easy '],['who is the younger brother of The episode guest stars of The Hard Easy '],"['The Hard Easy (Adventure Time)', 'Brother from Another Series', ""Roy's Wedding"", 'The Farm (The Office)']"
69,The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup known as what for sponsorship reasons?,Carabao Cup,2006–07,vanilla_rag,0.0,0.0,0.5,7.751309749437496e-05,bridge,['The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup known as what for sponsorship reasons?'],['The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup known as what for sponsorship reasons?'],"['2017–18 Wigan Athletic F.C. season', 'List of Wigan Borough F.C. players', '2006–07 Wigan Athletic F.C. season', '2007–08 Wigan Athletic F.C. season']"
70,"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?",Teen Titans Go!,Teen Titans Go!,vanilla_rag,1.0,1.0,1.0,0.04875365737825632,bridge,"['Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?']","['Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?']","['Teen Titans Go! (TV series)', 'List of Teen Titans Go! episodes', 'Teen Titans (season 1)', 'Tara Strong']"
71,What is the inhabitant of the city where  122nd SS-Standarte was formed in2014,"276,170 inhabitants",Strasbourg,vanilla_rag,0.0,0.0,0.5,0.016195570871786913,bridge,['What is the inhabitant of the city where  122nd SS-Standarte was formed in2014'],['What is the inhabitant of the city where  122nd SS-Standarte was formed in2014'],"['122nd SS-Standarte', '122d Fighter Squadron', '122nd Division (Imperial Japanese Army)', '122nd Hydroplane Liaison Squadron']"
72,What color clothing do people of the Netherlands wear during Oranjegekte or to celebrate the national holiday Koningsdag? ,orange,orange,vanilla_rag,1.0,1.0,1.0,0.742488443851471,bridge,['What color clothing do people of the Netherlands wear during Oranjegekte or to celebrate the national holiday Koningsdag? '],['What color clothing do people of the Netherlands wear during Oranjegekte or to celebrate the national holiday Koningsdag? '],"['Oranjegekte', ""Queen's Day (disambiguation)"", 'Koningsdag', 'Christmas in the Basque Country']"
73,"What was the name of the 1996 loose adaptation of William Shakespeare's ""Romeo & Juliet"" written by James Gunn?",Tromeo and Juliet,Tromeo and Juliet,vanilla_rag,1.0,1.0,0.5,0.04289865307509899,bridge,"['What was the name of the 1996 loose adaptation of William Shakespeare\'s ""Romeo & Juliet"" written by James Gunn?']","['What was the name of the 1996 loose adaptation of William Shakespeare\'s ""Romeo & Juliet"" written by James Gunn?']","['Tromeo and Juliet', 'Romeo + Juliet', 'The Tragedy of Romeo and Juliet (film)', 'Romeo and Juliet (1954 film)']"
74,Robert Suettinger was the national intelligence officer under which former Governor of Arkansas?,William Jefferson Clinton,National Intelligence Medal of Achievement,vanilla_rag,0.0,0.0,0.5,0.00012043568438002694,bridge,['Robert Suettinger was the national intelligence officer under which former Governor of Arkansas?'],['Robert Suettinger was the national intelligence officer under which former Governor of Arkansas?'],"['Robert Suettinger', 'Director of the Defense Intelligence Agency', 'National Intelligence Cross', 'National Intelligence Medal of Achievement']"
75,What American professional Hawaiian surfer born 18 October 1992 won the Rip Curl Pro Portugal?,John John Florence,John John Florence,vanilla_rag,1.0,1.0,1.0,0.26936800801195204,bridge,['What American professional Hawaiian surfer born 18 October 1992 won the Rip Curl Pro Portugal?'],['What American professional Hawaiian surfer born 18 October 1992 won the Rip Curl Pro Portugal?'],"['MEO Rip Curl Pro Portugal', 'John John Florence', 'MEO Rip Curl Pro Portugal 2016', 'MEO Rip Curl Pro Portugal 2017']"
76,What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?,Ann,Sela Ward,vanilla_rag,0.0,0.0,0.5,0.8303392824018374,bridge,['What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?'],['What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?'],"['Bobbi Bacha', 'Suburban Madness', 'Chris Funk', 'Milhouse Van Houten']"
77,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,Apalachees,Ais,vanilla_rag,0.0,0.0,0.5,0.7943255045975093,bridge,['Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?'],['Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?'],"['Alvaro Mexia', 'Diplomatic mission', 'Head of mission', 'High Commission of Australia, London']"
78,What nationality were social anthropologists Alfred Gell and Edmund Leach?,British,British,vanilla_rag,1.0,1.0,1.0,0.14415306085720658,bridge,['What nationality were social anthropologists Alfred Gell and Edmund Leach?'],['What nationality were social anthropologists Alfred Gell and Edmund Leach?'],"['Alfred Gell', 'Edmund Leach', 'Thomas Hylland Eriksen', 'Social Anthropology (journal)']"
79,In which year was the King who made the 1925 Birthday Honours born?,1865,1951,vanilla_rag,0.0,0.0,0.5,0.0024383731943089515,bridge,['In which year was the King who made the 1925 Birthday Honours born?'],['In which year was the King who made the 1925 Birthday Honours born?'],"['1925 Birthday Honours', '1951 Birthday Honours', 'Birthday Honours', '1965 Birthday Honours']"
80,"What is the county seat of the county where East Lempster, New Hampshire is located?",Newport,Sullivan County,vanilla_rag,0.0,0.0,1.0,0.2669976642355323,bridge,"['What is the county seat of the county where East Lempster, New Hampshire is located?']","['What is the county seat of the county where East Lempster, New Hampshire is located?']","['East Lempster, New Hampshire', 'Lempster, New Hampshire', 'Sullivan County, New Hampshire', 'Dover, New Hampshire']"
81,The Album Against the Wind was the 11th Album of a Rock singer Robert C Seger born may 6 1945. What was the Rock singers stage name ?,Bob Seger,Silver Bullet Band,vanilla_rag,0.0,0.0,1.0,0.1248183324933052,bridge,['The Album Against the Wind was the 11th Album of a Rock singer Robert C Seger born may 6 1945. What was the Rock singers stage name ?'],['The Album Against the Wind was the 11th Album of a Rock singer Robert C Seger born may 6 1945. What was the Rock singers stage name ?'],"['Against the Wind (album)', 'Bob Seger', 'Ride Out (album)', 'Stranger in Town (album)']"
82,Rostker v. Goldberg held that the practice of what way of filling armed forces vacancies was consitutional?,Conscription,requiring only men to register for the draft,vanilla_rag,0.0,0.0,0.5,0.44057270884513855,bridge,['Rostker v. Goldberg held that the practice of what way of filling armed forces vacancies was consitutional?'],['Rostker v. Goldberg held that the practice of what way of filling armed forces vacancies was consitutional?'],"['Rostker v. Goldberg', 'Russian Civil War', 'Fernando Tapias Stahelin', '2010 Kiev Victory Day Parade']"
83,"Handi-Snacks are a snack food product line sold by what American multinational confectionery, food, and beverage company that is based in Illinois?","Mondelez International, Inc.",Mondelez International,vanilla_rag,0.0,0.8,1.0,0.5820841116365045,bridge,"['Handi-Snacks are a snack food product line sold by what American multinational confectionery, food, and beverage company that is based in Illinois?']","['Handi-Snacks are a snack food product line sold by what American multinational confectionery, food, and beverage company that is based in Illinois?']","['Handi-Snacks', 'Mondelez International', 'PepsiCo', 'Snack Foods Limited']"
84,"What was the name of a woman from the book titled ""Their Lives: The Women Targeted by the Clinton Machine "" and was also a former white house intern?",Monica Lewinsky,Candice E. Jackson,vanilla_rag,0.0,0.0,0.5,0.9071447671158239,bridge,"['What was the name of a woman from the book titled ""Their Lives: The Women Targeted by the Clinton Machine "" and was also a former white house intern?']","['What was the name of a woman from the book titled ""Their Lives: The Women Targeted by the Clinton Machine "" and was also a former white house intern?']","['Their Lives', 'The White House Doctor', 'Marianne Schnall', 'Lewinsky scandal']"
85,"When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?","April 1, 1949","January 3, 1976",vanilla_rag,0.0,0.0,1.0,0.9568037390708923,bridge,"['When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?']","['When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?']","['Paul Manafort', 'David Urban', 'Trump campaign–Russian meeting', 'Brad Parscale']"
86,"In what year was the novel that Lourenço Mutarelli based ""Nina"" on based first published?",1866,2004,vanilla_rag,0.0,0.0,0.5,0.08108048141002655,bridge,"['In what year was the novel that Lourenço Mutarelli based ""Nina"" on based first published?']","['In what year was the novel that Lourenço Mutarelli based ""Nina"" on based first published?']","['Lourenço Mutarelli', '4 a.m. (novel)', 'Drained', 'Quando Eu Era Vivo']"
87,Where are Teide National Park and Garajonay National Park located?,"Canary Islands, Spain",Tenerife,vanilla_rag,0.0,0.0,1.0,0.3602319359779358,comparison,['Where are Teide National Park and Garajonay National Park located?'],['Where are Teide National Park and Garajonay National Park located?'],"['Teide National Park', 'Garajonay National Park', 'Alpine National Park', 'Crater Lake National Park']"
88,How many copies of Roald Dahl's variation on a popular anecdote sold?,250 million,250 million,vanilla_rag,1.0,1.0,1.0,0.02092866785824299,bridge,"[""How many copies of Roald Dahl's variation on a popular anecdote sold?""]","[""How many copies of Roald Dahl's variation on a popular anecdote sold?""]","[""Mrs. Bixby and the Colonel's Coat"", 'Roald Dahl', 'The Best of Roald Dahl', 'The Collected Short Stories of Roald Dahl']"
89,What occupation do Chris Menges and Aram Avakian share?,director,cinematographer,vanilla_rag,0.0,0.0,1.0,0.1685771346092224,comparison,['What occupation do Chris Menges and Aram Avakian share?'],['What occupation do Chris Menges and Aram Avakian share?'],"['Chris Menges', 'Aram Avakian', 'End of the Road (1970 film)', 'Cops and Robbers (1973 film)']"
90,Andrew Jaspan was the co-founder of what not-for-profit media outlet?,The Conversation,The Conversation,vanilla_rag,1.0,1.0,1.0,0.43873900175094604,bridge,['Andrew Jaspan was the co-founder of what not-for-profit media outlet?'],['Andrew Jaspan was the co-founder of what not-for-profit media outlet?'],"['Andrew Jaspan', 'The Conversation (website)', '14ymedio', 'Rainbow Terrace']"
91,Which American film director hosted the 18th Independent Spirit Awards in 2002?,John Waters,John Waters,vanilla_rag,1.0,1.0,0.5,0.9125933647155762,bridge,['Which American film director hosted the 18th Independent Spirit Awards in 2002?'],['Which American film director hosted the 18th Independent Spirit Awards in 2002?'],"['18th Independent Spirit Awards', '28th Independent Spirit Awards', '32nd Independent Spirit Awards', 'Independent Spirit Award for Best Cinematography']"
92,Where does the hotel and casino located in which Bill Cosby's third album was recorded?,Las Vegas Strip in Paradise,"Las Vegas, Nevada",vanilla_rag,0.0,0.5,0.5,0.34894153475761414,bridge,"[""Where does the hotel and casino located in which Bill Cosby's third album was recorded?""]","[""Where does the hotel and casino located in which Bill Cosby's third album was recorded?""]","['Why Is There Air?', 'The Original Jam Sessions 1969', 'Bill Cosby Is a Very Funny Fellow...Right!', 'Hikky Burr']"
93,Do the drinks Gibson and Zurracapote both contain gin?,no,gin and vermouth,vanilla_rag,0.0,0.0,0.5,0.07489661872386932,comparison,['Do the drinks Gibson and Zurracapote both contain gin?'],['Do the drinks Gibson and Zurracapote both contain gin?'],"['Gibson (cocktail)', 'Mário-Henrique Leiria', 'Phillips Distilling Company', 'List of soft drinks by country']"
94,"In what month is the annual documentary film festival, that is presented by the fortnightly published British journal of literary essays, held? ",March and April,March and April,vanilla_rag,1.0,1.0,1.0,0.1291102021932602,bridge,"['In what month is the annual documentary film festival, that is presented by the fortnightly published British journal of literary essays, held? ']","['In what month is the annual documentary film festival, that is presented by the fortnightly published British journal of literary essays, held? ']","['London International Documentary Festival', 'New Haven Documentary Film Festival', 'Chagrin Documentary Film Festival', 'London Review of Books']"
95,Tysons Galleria is located in what county?,Fairfax County,Fairfax County,vanilla_rag,1.0,1.0,0.5,0.11443678154682857,bridge,['Tysons Galleria is located in what county?'],['Tysons Galleria is located in what county?'],"['Tysons Galleria', 'Tysons, Virginia', 'Spring Hill station', 'Tysons Corner Center']"
96,Bordan Tkachuk was the CEO of a company that provides what sort of products?,IT products and services,ancillary,vanilla_rag,0.0,0.0,0.5,0.3213062286376953,bridge,['Bordan Tkachuk was the CEO of a company that provides what sort of products?'],['Bordan Tkachuk was the CEO of a company that provides what sort of products?'],"['Bordan Tkachuk', 'What You See Is What You Get (book)', 'Jonathan Michael Ansell', 'Cardinal Health']"
97,"Which filmmaker was known for animation, Lev Yilmaz or Pamela B. Green?",Levni Yilmaz,Levni Yilmaz,vanilla_rag,1.0,1.0,1.0,0.0695817997911945,comparison,"['Which filmmaker was known for animation, Lev Yilmaz or Pamela B. Green?']","['Which filmmaker was known for animation, Lev Yilmaz or Pamela B. Green?']","['Pamela B. Green', 'Lev Yilmaz', 'Eliezer ben Jacob I', 'Lev Kuleshov']"
98,In which city is the ambassador of the Rabat-Salé-Kénitra administrative region to China based?,Beijing,Beijing,vanilla_rag,1.0,1.0,1.0,0.06724970042705536,bridge,['In which city is the ambassador of the Rabat-Salé-Kénitra administrative region to China based?'],['In which city is the ambassador of the Rabat-Salé-Kénitra administrative region to China based?'],"['Rabat', 'Moroccan Ambassador to China', 'Sinuiju Special Administrative Region', 'Xiapu County']"
99,Are Yingkou and Fuding the same level of city?,no,Tongcheng Subdistrict,vanilla_rag,0.0,0.0,0.5,0.017645595595240593,comparison,['Are Yingkou and Fuding the same level of city?'],['Are Yingkou and Fuding the same level of city?'],"['Yingkou', 'Yingkou East Railway Station', 'Roman Catholic Diocese of Yingkou', 'Tongcheng Subdistrict, Fuding']"
100,Where did the descendants of the group of black Indians associated with the Seminole people settle?,"Coahuila, Mexico",Florida and Oklahoma,vanilla_rag,0.0,0.0,0.5,0.5624211430549622,bridge,['Where did the descendants of the group of black Indians associated with the Seminole people settle?'],['Where did the descendants of the group of black Indians associated with the Seminole people settle?'],"['Black Seminoles', 'Seminole', 'Seminole Nation of Oklahoma', 'Indigenous peoples of Florida']"
101,David Huntsinger has worked with this gospel singer born in the month of July?,Larnelle Harris,"July 6, 1947",vanilla_rag,0.0,0.0,0.5,0.009392075124196708,bridge,['David Huntsinger has worked with this gospel singer born in the month of July?'],['David Huntsinger has worked with this gospel singer born in the month of July?'],"['Karen Clark Sheard', 'Just as I Am (Yolanda Adams album)', 'Larnelle Harris', 'Muyiwa Olarewaju']"
102,What year was the brother of this first round draft pick by the Washington Redskins drafted?,2003,1999,vanilla_rag,0.0,0.0,0.5,0.09243013709783554,bridge,['What year was the brother of this first round draft pick by the Washington Redskins drafted?'],['What year was the brother of this first round draft pick by the Washington Redskins drafted?'],"['Jeris White', 'Champ Bailey', 'Ron Snidow', 'D. J. Smith (American football)']"
103,Where is the stadium at which 1964 Georgia Tech Yellow Jackets football team played their home game located? ,North Avenue at Techwood Drive,"Grant Field in Atlanta, Georgia",vanilla_rag,0.0,0.0,0.5,0.242150929319223,bridge,['Where is the stadium at which 1964 Georgia Tech Yellow Jackets football team played their home game located? '],['Where is the stadium at which 1964 Georgia Tech Yellow Jackets football team played their home game located? '],"['1964 Georgia Tech Yellow Jackets football team', '1987 Georgia Tech Yellow Jackets football team', '1953 Georgia Tech Yellow Jackets football team', '1988 Georgia Tech Yellow Jackets football team']"
104,"Since 2 June 2017, The Leader of Fine Gael had been held by which Irish Fine Gael politician who has served as Taoiseach and Minister for Defence?",Leo Varadkar,Leo Varadkar,vanilla_rag,1.0,1.0,1.0,0.28457363322377205,bridge,"['Since 2 June 2017, The Leader of Fine Gael had been held by which Irish Fine Gael politician who has served as Taoiseach and Minister for Defence?']","['Since 2 June 2017, The Leader of Fine Gael had been held by which Irish Fine Gael politician who has served as Taoiseach and Minister for Defence?']","['Leo Varadkar', 'Leader of Fine Gael', 'Enda Kenny', 'Liam Cosgrave']"
105,Which American film actor and dancer starred in the 1945 film Johnny Angel?,George Raft,George Raft,vanilla_rag,1.0,1.0,0.5,0.3234439790248871,bridge,['Which American film actor and dancer starred in the 1945 film Johnny Angel?'],['Which American film actor and dancer starred in the 1945 film Johnny Angel?'],"['Johnny Angel', 'Johnny Angel (song)', 'City of Angels (film)', 'Sveinn Ólafur Gunnarsson']"
106,hree Men on a Horse is a play by a playwright born in which year ?,1887,1888,vanilla_rag,0.0,0.0,0.5,0.015500965062528849,bridge,['hree Men on a Horse is a play by a playwright born in which year ?'],['hree Men on a Horse is a play by a playwright born in which year ?'],"['Three Men on a Horse', 'Is He Dead?', 'In the Company of Men', 'The Lady from the Sea']"
107,What type of activity does Owner earnings and Warren Buffett have in common?,business,charitable giving,vanilla_rag,0.0,0.0,1.0,0.008912982419133186,bridge,['What type of activity does Owner earnings and Warren Buffett have in common?'],['What type of activity does Owner earnings and Warren Buffett have in common?'],"['Owner earnings', 'Warren Buffett', 'George D. Buffett', 'Buffett Foundation']"
108,When was the  former Indian cricketer who made his ODI debuts during the 2000 ICC KnockOut Trophy born? ,7 October 1978,Yuvraj Singh and Marlon Samuels,vanilla_rag,0.0,0.0,0.5,0.02338699996471405,bridge,['When was the  former Indian cricketer who made his ODI debuts during the 2000 ICC KnockOut Trophy born? '],['When was the  former Indian cricketer who made his ODI debuts during the 2000 ICC KnockOut Trophy born? '],"['2000 ICC KnockOut Trophy', '2000 ICC KnockOut Trophy squads', '1998 ICC KnockOut Trophy squads', '1998 ICC KnockOut Trophy Final']"
109,"Which airplane was this Major test-flying after whom the base, that 514th Flight Test Squadron is stated at, is named?",B-17 Flying Fortress bomber,McDonnell Douglas C-17 Globemaster III,vanilla_rag,0.0,0.0,0.5,0.3433913290500641,bridge,"['Which airplane was this Major test-flying after whom the base, that 514th Flight Test Squadron is stated at, is named?']","['Which airplane was this Major test-flying after whom the base, that 514th Flight Test Squadron is stated at, is named?']","['514th Flight Test Squadron', '370th Flight Test Squadron', '415th Flight Test Flight', '417th Flight Test Squadron']"
110,"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,Blake Shelton,vanilla_rag,1.0,1.0,1.0,0.37733032926917076,bridge,"['Based on a True Story... is an album by which country music star, with the single My Eyes?']","['Based on a True Story... is an album by which country music star, with the single My Eyes?']","['My Eyes (Blake Shelton song)', 'Based on a True Story...', 'Country Music Star No. 1', 'Stranger in the House (song)']"
111,"Over how many centuries were the ""dwelling place of the dead"" built?",three centuries,12th century,vanilla_rag,0.0,0.0,0.0,5.843361941515468e-05,bridge,"['Over how many centuries were the ""dwelling place of the dead"" built?']","['Over how many centuries were the ""dwelling place of the dead"" built?']","['Heaven in Judaism', 'Tabernacle', 'Vídbláin', 'Château de Druyes']"
112,"When was the British author who wrote the novel on which ""Here We Go Round the Mulberry Bush"" was based born? ",7 January 1936,1967,vanilla_rag,0.0,0.0,0.5,0.017760490998625755,bridge,"['When was the British author who wrote the novel on which ""Here We Go Round the Mulberry Bush"" was based born? ']","['When was the British author who wrote the novel on which ""Here We Go Round the Mulberry Bush"" was based born? ']","['Here We Go Round the Mulberry Bush (film)', 'Here We Go Round the Mulberry Bush (disambiguation)', 'Here We Go Round the Mulberry Bush (Traffic song)', 'Here We Go Round the Mulberry Bush']"
113,"Who died first, George Archainbaud or Ralph Murphy?",George Archainbaud,Ralph Murphy,vanilla_rag,0.0,0.0,1.0,0.006109972717240453,comparison,"['Who died first, George Archainbaud or Ralph Murphy?']","['Who died first, George Archainbaud or Ralph Murphy?']","['George Archainbaud', 'Ralph Murphy', 'The Big Shot (1931 film)', 'Campus Confessions']"
114,Which component of shellite has the formula (ON)CHOH?,picric acid,isomeric alcohols,vanilla_rag,0.0,0.0,0.0,4.9030926476234526e-05,bridge,['Which component of shellite has the formula (ON)CHOH?'],['Which component of shellite has the formula (ON)CHOH?'],"['Index of alcohol-related articles', 'Aldonic acid', 'Tetrakis(hydroxymethyl)phosphonium chloride', '1-Hexanol']"
115,The Argentine PGA Championship record holder has won how many tournaments worldwide?,230,230,vanilla_rag,1.0,1.0,1.0,0.2555291950702667,bridge,['The Argentine PGA Championship record holder has won how many tournaments worldwide?'],['The Argentine PGA Championship record holder has won how many tournaments worldwide?'],"['Argentine PGA Championship', 'Roberto De Vicenzo', 'Middle Atlantic PGA Championship', 'Northern California PGA Championship']"
116,Suicide's 1977 released album features a song based on what brand's comic character?,Marvel,Marvel,vanilla_rag,1.0,1.0,1.0,0.7631445527076721,bridge,"[""Suicide's 1977 released album features a song based on what brand's comic character?""]","[""Suicide's 1977 released album features a song based on what brand's comic character?""]","['Ghost Rider (Suicide song)', 'Suicide (1977 album)', ""A Boy in a Man's World"", 'Everglow']"
117,What other political position did the person who introduced the DISCLOSE Act hold?,United States Senator,Chris Van Hollen,vanilla_rag,0.0,0.0,0.5,0.09286084026098251,bridge,['What other political position did the person who introduced the DISCLOSE Act hold?'],['What other political position did the person who introduced the DISCLOSE Act hold?'],"['DISCLOSE Act', 'Public Law 113-167', 'Campaign finance reform in the United States', 'Modernization of Investigative Techniques Act']"
118,Were the bands Skin Yard and Ostava from the U.S.?,no,United States of America,vanilla_rag,0.0,0.0,0.5,0.014831292442977428,comparison,['Were the bands Skin Yard and Ostava from the U.S.?'],['Were the bands Skin Yard and Ostava from the U.S.?'],"['Skin Yard (album)', 'Skin Yard', 'Daniel House', 'Jack Endino']"
119,Are Daryl Hall and Gerry Marsden both musicians?,yes,Hall & Oates,vanilla_rag,0.0,0.0,1.0,0.02203698270022869,comparison,['Are Daryl Hall and Gerry Marsden both musicians?'],['Are Daryl Hall and Gerry Marsden both musicians?'],"['Gerry Marsden', 'Hall &amp; Oates', 'Jonathan Wolfson', 'Daryl Hall']"
